Unnamed: 0|ID|LIBELLE|SEUIL|UNITE|QUANTITEPARPACK|PU|ACTIF|PHOTO|CALORIE|DURRE|COMPOSE|CATEGORIEINGREDIENT|IDFOURNISSEUR|DATY|QTELIMITE|PV|LIBELLEVENTE|SEUILMIN|SEUILMAX|PUACHATUSD|PUACHATEURO|PUACHATAUTREDEVISE|PUVENTEUSD|PUVENTEEURO|PUVENTEAUTREDEVISE|ISVENTE|ISACHAT|COMPTE_VENTE|COMPTE_ACHAT|LIBELLEEXTACTE|TVA|FILEPATH|RESTE|TYPESTOCK|IDCHAMBRE|ISPERISHABLE|PV2|CODEBARRE|TYPEINGREDIENT|REFERENCE|Unnamed: 41
|IG000327|CDS 0.0 solution - Flacon 20ml                                                |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |124  |CUMP     |         |0           |10,000    |             |              |         |
|IG000328|CDS 0.0 solution - Spray 50ml                                                 |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |15,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |14   |CUMP     |         |0           |15,000    |             |              |         |
|IG000329|CDS 1.0 Patch Magnetik anti-douleurs - n Kraft (20ml + patc                   |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |20,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |1    |CUMP     |         |0           |20,000    |             |              |         |
|IG000330|CDS 2.0 Patch magnetik detox puissant - n Kraft (20ml + patc                  |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |20,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |-1   |CUMP     |         |0           |20,000    |             |              |         |
|IG000331|CDS 3.0 spray brulûres et plaies - Spray 50ml                                 |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |15,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |16   |CUMP     |         |0           |15,000    |             |              |         |
|IG000332|CDS 4.0 spray magnetik anti-âge - n Kraft (20ml + patc                        |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |20,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |3    |CUMP     |         |0           |20,000    |             |              |         |
|IG000333|CDS 5.0 spray anti-âge - Spray 50ml                                           |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |15,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |-2   |CUMP     |         |0           |15,000    |             |              |         |
|IG000334|CDS 6.0 solution desinfectante eau potable - Flacon 20ml                      |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |3,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |4    |CUMP     |         |0           |3,000     |             |              |         |
|IG000335|CDS 7.0 solution desinfectante salade, fruits et legumes - flacon 500ml       |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |5,000     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |0     |        |     |CUMP     |         |0           |5,000     |             |              |         |
|IG000336|CDS 8.0 solution desifectante traitement de surfaces, ustensile - flacon 500ml|0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |0    |CUMP     |         |0           |5,000     |             |              |         |
|IG000337|CDS 9.0 patch magnetik aide minceur - n Kraft (20ml + patc                    |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |20,000    |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |0     |        |     |CUMP     |         |0           |20,000    |             |              |         |
|IG000338|CDS 10.0 AUDIPHENE - Flacon 20ml                                              |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |1    |CUMP     |         |0           |6,000     |             |              |         |
|IG000339|CDS 11.0 SOLUBUCCAL - Flacon 20ml                                             |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |1    |CUMP     |         |0           |6,000     |             |              |         |
|IG000340|CDS 12.0 COLLYRE NATUREL POUR LES YEUX - Flacon 20ml                          |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |13   |CUMP     |         |0           |6,000     |             |              |         |
|IG000341|CDS 13.0 solution desinfectante bactericide, virucide, fongicide - Flacon 20ml|0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |5,000     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |0     |        |     |CUMP     |         |0           |5,000     |             |              |         |
|IG000342|Eau hydrogenée - Flacon 500ml                                                 |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |13,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |21   |CUMP     |         |0           |13,000    |             |              |         |
|IG000343|Serum nasale - Flacon 20ml                                                    |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |8    |CUMP     |         |0           |6,000     |             |              |         |
|IG000344|Sérum physiologique - Flacon 20ml                                             |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATGCDS            |             |                       |0        |2,500     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |0     |        |     |CUMP     |         |0           |2,500     |             |              |         |
|IG000345|Vitamine A - Flacon 10ml                                                      |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATVITH            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |2    |CUMP     |         |0           |6,000     |             |              |         |
|IG000346|Vitamine B12 - Flacon 10ml                                                    |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATVITH            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |1    |CUMP     |         |0           |6,000     |             |              |         |
|IG000347|Vitamine B3 - Flacon 10ml                                                     |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATVITH            |             |                       |0        |6,000     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |0     |        |     |CUMP     |         |0           |6,000     |             |              |         |
|IG000348|Vitamine B6 - Flacon 10ml                                                     |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATVITH            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |0    |CUMP     |         |0           |6,000     |             |              |         |
|IG000349|Vitamine C - Flacon 10ml                                                      |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATVITH            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |4    |CUMP     |         |0           |6,000     |             |              |         |
|IG000350|Vitamine D - Flacon 10ml                                                      |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATVITH            |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |2    |CUMP     |         |0           |6,000     |             |              |         |
|IG000351|Vitamine E - Flacon 10ml                                                      |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATVITH            |             |                       |0        |6,000     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |0     |        |     |CUMP     |         |0           |6,000     |             |              |         |
|IG000352|Vitamine K - Flacon 10ml                                                      |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATVITH            |             |                       |0        |6,000     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |0     |        |     |CUMP     |         |0           |6,000     |             |              |         |
|IG000353|Eau Florale Apaisante - Flacon 20ml                                           |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATPSYEMO          |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |16   |CUMP     |         |0           |6,000     |             |              |         |
|IG000354|Elixir Zen (Anti-stress) - Flacon 10ml                                        |0    |UNT00004|0              |1,463.39 |0    |     |0      |     |0      |CATPSYEMO          |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |32   |CUMP     |         |0           |10,000    |             |              |         |
|IG000355| Argent Colloidal Btl 100ml - Flacon 100ml                                    |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATPSYEMO          |             |                       |0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |10   |CUMP     |         |0           |6,000     |             |              |         |
|IG000356| Argent Colloidal Flc 500ml - Flacon 500 ml                                   |0    |UNT00004|0              |1        |0    |     |0      |     |0      |CATPSYEMO          |             |                       |0        |27,500    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |6    |CUMP     |         |0           |27,500    |             |              |         |
|IG000360|Vanitea Confort Hypertension - Pqt de 10                                      |0    |UNT00011|0              |4,973.49 |0    |     |0      |     |0      |CATVANCONF         |FRN000063    |2027-04-19 00:00:00.000|0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |29   |CUMP     |         |0           |6,000     |             |              |         |
|IG000361|Ramilamina                                                                    |0    |STU000007152420|0              |5,000    |0    |     |0      |     |0      |CATHOM             |             |2027-04-19 00:00:00.000|0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |13   |CUMP     |         |0           |5,000     |             |              |         |
|IG000362|Baume Fosa Enfant - Pot 30g                                                   |0    |UNT00001|0              |5,276.5  |0    |     |0      |     |0      |CATBA              |             |2025-06-19 00:00:00.000|0        |8,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |25   |CUMP     |         |0           |8,000     |             |              |         |
|IG000384|AMOXICILLINE 250mg/5ml                                                        |0    |UNT00004|0              |4,290    |0    |     |0      |     |0      |CATMED             |FRN000063    |2027-07-01 00:00:00.000|0        |7,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |3    |CUMP     |         |0           |7,000     |             |TYPALLO       |         |
|ING00393|EFFERALGAN 500CP EFF                                                          |0    |UNT00010|0              |2,500    |0    |     |       |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |2,500     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |20    |        |     |CUMP     |         |0           |2,500     |             |TYPALLO       |         |
|ING00394|BACTODERME CREME TBE/15G                                                      |0    |UNT00001|0              |3,700    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |2    |CUMP     |         |0           |5,000     |             |TYPALLO       |         |
|ING00395|ERYTHOMYCINE 500mg 10*10                                                      |0    |UNT00001|0              |6,765    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |8,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |10   |CUMP     |         |0           |8,000     |             |TYPALLO       |         |
|ING00396|PREDNISOLONE 5MG                                                              |0    |UNT00001|0              |613.04   |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |700       |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |13   |CUMP     |         |0           |700       |             |TYPALLO       |         |
|ING00397|UPSA C 1G                                                                     |0    |UNT00001|0              |8,000    |0    |     |       |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |8,000     |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |20    |        |     |CUMP     |         |0           |8,000     |             |TYPALLO       |         |
|ING00398|VITAMINE BCOMPLEXE                                                            |0    |UNT00005       |0              |4,200    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |0    |CUMP     |         |0           |6,000     |             |TYPALLO       |         |
|ING00399|HIPRES 50mg cp                                                                |0    |UNT00001|0              |5,000    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |8    |CUMP     |         |0           |5,000     |             |TYPALLO       |         |
|ING00400|CITRATE DE BETAINE UPSA 2G CP EFF/20                                          |0    |UNT00001|0              |19,120   |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |24,856    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |1    |CUMP     |         |0           |24,856    |             |TYPALLO       |         |
|ING00401|DEXAMETHASONE SODIQUE 8MG/2ML INJ B/10 EXTER                                  |0    |UNT00004|0              |1,500    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |1,500     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |10   |CUMP     |         |0           |1,500     |             |TYPALLO       |         |
|ING00402|PERFUSEUR LABELL AIG 19G/1                                                    |0    |UNT00001|0              |2,508.75 |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |3,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |3    |CUMP     |         |0           |3,000     |             |TYPALLO       |         |
|ING00403|SERUM SALE ISO 0,9%                                                           |0    |UNT00005       |0              |3,500    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |3,500     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |1    |CUMP     |         |0           |3,500     |             |TYPALLO       |         |
|ING00404|SPASFON SOL INJ 4ML AMP/6                                                     |0    |UNT00004|0              |4,000    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |4,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |6    |CUMP     |         |0           |4,000     |             |TYPALLO       |         |
|ING00405|AMVA DENK                                                                     |0    |UNT00005       |0              |72,770   |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |104,061   |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |1    |CUMP     |         |0           |104,061   |             |TYPALLO       |         |
|ING00406|CALCIUM GLUCONATE 10% SOL ij/10 deska                                         |0    |UNT00005       |0              |5,000    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |9    |CUMP     |         |0           |5,000     |             |TYPALLO       |         |
|ING00407|CELESTENE gouttes 30ml                                                        |0    |UNT00004|0              |24,000   |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |24,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |1    |CUMP     |         |0           |24,000    |             |TYPALLO       |         |
|ING00408|COLICALM CPR/20                                                               |0    |UNT00010|0              |28,000   |0    |     |       |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |28,000    |            |        |        |          |           |                  |          |           |                  |       |       |72004       |62004       |              |20    |        |     |CUMP     |         |0           |28,000    |             |TYPALLO       |         |
|ING00409|DICLOFENAC 75MG/3ml amp inj/50 deska                                          |0    |UNT00004|0              |1,500    |0    |     |0      |     |0      |CATMED             |             |2025-06-30 00:00:00.000|0        |1,500     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |20    |        |50   |CUMP     |         |0           |1,500     |             |TYPALLO       |         |
|IG000736|RETICULOCYTE                                                                  |0    |UNT00005       |0              |25,000   |0    |     |0      |     |0      |CATSOIN            |FRN000063    |2050-01-01 00:00:00.000|0        |25,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |73004       |61004       |              |0     |        |1    |CUMP     |         |0           |25,000    |             |              |         |
|IG000737|TRANSFERINE                                                                   |0    |UNT00005       |0              |70,000   |0    |     |0      |     |0      |CATSOIN            |FRN000063    |2050-01-01 00:00:00.000|0        |70,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |73001       |61004       |              |0     |        |1    |CUMP     |         |0           |70,000    |             |              |         |
|IG000776|TURBOVAS 20MG CPR PEL/30 PERSONEL                                             |0    |UNT00001|0              |37,540   |0    |     |0      |     |0      |CATARO             |FRN000084    |2050-01-01 00:00:00.000|0        |37,540    |            |        |        |          |           |                  |0         |0          |                  |       |       |73003       |61003       |              |37,540|        |6    |CUMP     |         |0           |37,540    |             |              |         |
|IG00415 |Gel douche LAVANDIN - 150ml                                                   |0    |UNT00004|0              |10,000   |0    |     |0      |     |0      |CATGELD            |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |6    |CUMP     |         |0           |10,000    |             |              |         |
|IG00417 |Gel douche ROMARIN - 150ml                                                    |0    |UNT00004|0              |10,000   |0    |     |0      |     |0      |CATGELD            |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |6    |CUMP     |         |0           |10,000    |             |              |         |
|IG00418 |Gel douche TEE TREE-150ml                                                     |0    |UNT00004|0              |6,356.88 |0    |     |0      |     |0      |CATGELD            |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |2    |CUMP     |         |0           |10,000    |             |              |         |
|IG00419 |Gel douche VANILLE -150ML                                                     |0    |UNT00004|0              |4,616.91 |0    |     |0      |     |0      |CATGELD            |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |2    |CUMP     |         |0           |10,000    |             |              |         |
|IG00425 |CrÃ¨me eclat fondant cacao- Flacon 50 ml                                      |0    |UNT00004|0              |4,052.67 |0    |     |0      |     |0      |CATGCACAO          |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |22   |CUMP     |         |0           |10,000    |             |              |         |
|IG00428 |Lotion collagene CACAO- Flacon 100 ml                                         |0    |UNT00004|0              |4,760.08 |0    |     |0      |     |0      |CATGCACAO          |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |-3   |CUMP     |         |0           |10,000    |             |              |         |
|IG00429 |SÃ©rum nourrissant CACAO- Flacon 30 ml                                        |0    |UNT00004|0              |5,839.92 |0    |     |0      |     |0      |CATGCACAO          |             |                       |0        |10,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |9    |CUMP     |         |0           |10,000    |             |              |         |
|IG000357|Complexe Aro Voa - 20ml                                                       |0    |UNT00004|0              |4,741.2  |0    |     |0      |     |0      |CATHOM             |FRN000063    |2025-06-19 00:00:00.000|0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |20   |CUMP     |         |0           |5,000     |9234029164967|              |         |
|IG000358|Carton baume fosa sachet                                                      |0    |UNT00001|0              |5,000    |0    |     |0      |     |0      |CATGDIV            |FRN000063    |2025-06-19 00:00:00.000|0        |5,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |2    |CUMP     |         |0           |5,000     |             |              |         |
|IG000359|Vanitea Confort Calculs - Pqt de 10                                           |0    |UNT00011|0              |1,251.42 |0    |     |0      |     |0      |CATVANCONF         |FRN000063    |2025-06-19 00:00:00.000|0        |6,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |81   |CUMP     |         |0           |6,000     |9234234031580|              |         |
|IG000365|AMLONG-10 cp sec                                                              |0    |UNT00004|0              |11,000   |0    |     |0      |     |0      |CATMED             |FRN000063    |2026-06-27 00:00:00.000|0        |11,000    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |0    |CUMP     |         |0           |11,000    |             |TYPALLO       |         |
|IG000366|ANGIZAAR-50 mg cp sec                                                         |0    |UNT00001|0              |16,996.67|0    |     |0      |     |0      |CATMED             |FRN000063    |2026-06-27 00:00:00.000|0        |12,200    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |10   |CUMP     |         |0           |12,200    |             |TYPALLO       |         |
|IG000367|ANTHEL 400mg                                                                  |0    |UNT00001|0              |1,500    |0    |     |0      |     |0      |CATMED             |FRN000063    |2026-06-27 00:00:00.000|0        |1,500     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |5    |CUMP     |         |0           |1,500     |             |TYPALLO       |         |
|IG000368|AZITEX 500mg cp sec                                                           |0    |UNT00001|0              |6,800    |0    |     |0      |     |0      |CATMED             |FRN000063    |2026-06-27 00:00:00.000|0        |6,800     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |3    |CUMP     |         |0           |6,800     |             |TYPALLO       |         |
|IG000369|DIAMICRON 60mg cp                                                             |0    |UNT00001|0              |42,200   |0    |     |0      |     |0      |CATMED             |FRN000063    |2027-06-27 00:00:00.000|0        |42,200    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |0    |CUMP     |         |0           |42,200    |             |TYPALLO       |         |
|IG000370|DICLOFENAC 50mg cp                                                            |0    |UNT00001|0              |1,500    |0    |     |0      |     |0      |CATMED             |FRN000063    |2027-06-27 00:00:00.000|0        |1,500     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |10   |CUMP     |         |0           |1,500     |             |TYPALLO       |         |
|IG000371|EFFERALGAN 1g CP EFF                                                          |0    |UNT00001|0              |7,460.67 |0    |     |0      |     |0      |CATMED             |FRN000063    |2026-12-11 00:00:00.000|0        |9,600     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |62004       |              |0     |        |4    |CUMP     |         |0           |9,600     |             |TYPALLO       |         |
|IG000372|FERVEX ADULTE                                                                 |0    |STU000007152420|0              |2,400    |0    |     |0      |     |0      |CATMED             |FRN000063    |2026-12-11 00:00:00.000|0        |2,400     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |0    |CUMP     |         |0           |2,400     |             |TYPALLO       |         |
|IG000373|GENTAMICINE 80mg/2ml injectable                                               |0    |UNT00004|0              |2,000    |0    |     |0      |     |0      |CATMED             |FRN000063    |2027-01-01 00:00:00.000|0        |2,000     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |2    |CUMP     |         |0           |2,000     |             |TYPALLO       |         |
|IG000374|LINCOMYCINE 500mg cp sec                                                      |0    |UNT00001|0              |11,400   |0    |     |0      |     |0      |CATMED             |FRN000063    |2027-08-01 00:00:00.000|0        |11,400    |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |0    |CUMP     |         |0           |11,400    |             |TYPALLO       |         |
|IG000375|MELMET 500mg CP sec                                                           |0    |UNT00001|0              |2,500    |0    |     |0      |     |0      |CATMED             |FRN000063    |2027-02-01 00:00:00.000|0        |2,500     |            |        |        |          |           |                  |0         |0          |                  |       |       |72004       |            |              |0     |        |2    |CUMP     |         |0           |2,500     |             |TYPALLO       |         |
